Season,Lg,Tm,Player1,Player2,Player3,Player4,Player5
2011-12,NBA,2nd,Andrew Bynum C,Blake Griffin F,Kevin Love F,Tony Parker G,Russell Westbrook G
2011-12,NBA,3rd,Tyson Chandler C,Carmelo Anthony F,Dirk Nowitzki F,Rajon Rondo G,Dwyane Wade G
2010-11,NBA,1st,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Derrick Rose G
2010-11,NBA,2nd,Amar'e Stoudemire C,Pau Gasol F,Dirk Nowitzki F,Dwyane Wade G,Russell Westbrook G
2010-11,NBA,3rd,Al Horford C,LaMarcus Aldridge F,Zach Randolph F,Manu Ginobili G,Chris Paul G
2009-10,NBA,1st,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Dwyane Wade G
2009-10,NBA,2nd,Amar'e Stoudemire C,Carmelo Anthony F,Dirk Nowitzki F,Steve Nash G,Deron Williams G
2009-10,NBA,3rd,Andrew Bogut C,Tim Duncan F,Pau Gasol F,Joe Johnson G,Brandon Roy G
2008-09,NBA,1st,Dwight Howard C,LeBron James F,Dirk Nowitzki F,Kobe Bryant G,Dwyane Wade G
2008-09,NBA,2nd,Yao Ming C,Tim Duncan F,Paul Pierce F,Chris Paul G,Brandon Roy G
2008-09,NBA,3rd,Shaquille O'Neal C,Carmelo Anthony F,Pau Gasol F,Chauncey Billups G,Tony Parker G
2007-08,NBA,1st,Dwight Howard C,Kevin Garnett F,LeBron James F,Kobe Bryant G,Chris Paul G
2007-08,NBA,2nd,Amar'e Stoudemire C,Tim Duncan F,Dirk Nowitzki F,Steve Nash G,Deron Williams G
2007-08,NBA,3rd,Yao Ming C,Carlos Boozer F,Paul Pierce F,Manu Ginobili G,Tracy McGrady G
2006-07,NBA,1st,Amar'e Stoudemire C,Tim Duncan F,Dirk Nowitzki F,Kobe Bryant G,Steve Nash G
2006-07,NBA,2nd,Yao Ming C,Chris Bosh F,LeBron James F,Gilbert Arenas G,Tracy McGrady G
2006-07,NBA,3rd,Dwight Howard C,Carmelo Anthony F,Kevin Garnett F,Chauncey Billups G,Dwyane Wade G
2005-06,NBA,1st,Shaquille O'Neal C,LeBron James F,Dirk Nowitzki F,Kobe Bryant G,Steve Nash G
2005-06,NBA,2nd,Ben Wallace C,Elton Brand F,Tim Duncan F,Chauncey Billups G,Dwyane Wade G
2005-06,NBA,3rd,Yao Ming C,Carmelo Anthony F,Shawn Marion F,Gilbert Arenas G,Allen Iverson G
2004-05,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Dirk Nowitzki F,Allen Iverson G,Steve Nash G
2004-05,NBA,2nd,Amar'e Stoudemire C,Kevin Garnett F,LeBron James F,Ray Allen G,Dwyane Wade G
2004-05,NBA,3rd,Ben Wallace C,Shawn Marion F,Tracy McGrady F,Gilbert Arenas G,Kobe Bryant G
2003-04,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Kobe Bryant G,Jason Kidd G
2003-04,NBA,2nd,Ben Wallace C,Jermaine O'Neal F,Peja Stojakovic F,Sam Cassell G,Tracy McGrady G
2003-04,NBA,3rd,Yao Ming C,Metta World Peace F,Dirk Nowitzki F,Baron Davis G,Michael Redd G
2002-03,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Kobe Bryant G,Tracy McGrady G
2002-03,NBA,2nd,Ben Wallace C,Dirk Nowitzki F,Chris Webber F,Allen Iverson G,Jason Kidd G
2002-03,NBA,3rd,Jermaine O'Neal C,Jamal Mashburn F,Paul Pierce F,Stephon Marbury G,Steve Nash G
2001-02,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Tracy McGrady F,Kobe Bryant G,Jason Kidd G
2001-02,NBA,2nd,Dirk Nowitzki C,Kevin Garnett F,Chris Webber F,Allen Iverson G,Gary Payton G
2001-02,NBA,3rd,Dikembe Mutombo C,Jermaine O'Neal F,Ben Wallace F,Steve Nash G,Paul Pierce G
2000-01,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Chris Webber F,Allen Iverson G,Jason Kidd G
2000-01,NBA,2nd,Dikembe Mutombo C,Vince Carter F,Kevin Garnett F,Kobe Bryant G,Tracy McGrady G
2000-01,NBA,3rd,David Robinson C,Karl Malone F,Dirk Nowitzki F,Ray Allen G,Gary Payton G
1999-00,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Jason Kidd G,Gary Payton G
1999-00,NBA,2nd,Alonzo Mourning C,Grant Hill F,Karl Malone F,Kobe Bryant G,Allen Iverson G
1999-00,NBA,3rd,David Robinson C,Vince Carter F,Chris Webber F,Eddie Jones G,Stephon Marbury G
1998-99,NBA,1st,Alonzo Mourning C,Tim Duncan F,Karl Malone F,Allen Iverson G,Jason Kidd G
1998-99,NBA,2nd,Shaquille O'Neal C,Grant Hill F,Chris Webber F,Tim Hardaway G,Gary Payton G
1998-99,NBA,3rd,Hakeem Olajuwon C,Kevin Garnett F,Antonio McDyess F,Kobe Bryant G,John Stockton G
1997-98,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Karl Malone F,Michael Jordan G,Gary Payton G
1997-98,NBA,2nd,David Robinson C,Vin Baker F,Grant Hill F,Tim Hardaway G,Rod Strickland G
1997-98,NBA,3rd,Dikembe Mutombo C,Scottie Pippen F,Glen Rice F,Reggie Miller G,Mitch Richmond G
1996-97,NBA,1st,Hakeem Olajuwon C,Grant Hill F,Karl Malone F,Tim Hardaway G,Michael Jordan G
1996-97,NBA,2nd,Patrick Ewing C,Scottie Pippen F,Glen Rice F,Gary Payton G,Mitch Richmond G
1996-97,NBA,3rd,Shaquille O'Neal C,Vin Baker F,Anthony Mason F,Anfernee Hardaway G,John Stockton G
1995-96,NBA,1st,David Robinson C,Karl Malone F,Scottie Pippen F,Anfernee Hardaway G,Michael Jordan G
1995-96,NBA,2nd,Hakeem Olajuwon C,Grant Hill F,Shawn Kemp F,Gary Payton G,John Stockton G
1995-96,NBA,3rd,Shaquille O'Neal C,Charles Barkley F,Juwan Howard F,Reggie Miller G,Mitch Richmond G
1994-95,NBA,1st,David Robinson C,Karl Malone F,Scottie Pippen F,Anfernee Hardaway G,John Stockton G
1994-95,NBA,2nd,Shaquille O'Neal C,Charles Barkley F,Shawn Kemp F,Gary Payton G,Mitch Richmond G
1994-95,NBA,3rd,Hakeem Olajuwon C,Dennis Rodman F,Detlef Schrempf F,Clyde Drexler G,Reggie Miller G
1993-94,NBA,1st,Hakeem Olajuwon C,Karl Malone F,Scottie Pippen F,Latrell Sprewell G,John Stockton G
1993-94,NBA,2nd,David Robinson C,Charles Barkley F,Shawn Kemp F,Kevin Johnson G,Mitch Richmond G
1993-94,NBA,3rd,Shaquille O'Neal C,Derrick Coleman F,Dominique Wilkins F,Gary Payton G,Mark Price G
1992-93,NBA,1st,Hakeem Olajuwon C,Charles Barkley F,Karl Malone F,Michael Jordan G,Mark Price G
1992-93,NBA,2nd,Patrick Ewing C,Larry Johnson F,Dominique Wilkins F,Joe Dumars G,John Stockton G
1992-93,NBA,3rd,David Robinson C,Derrick Coleman F,Scottie Pippen F,Tim Hardaway G,Drazen Petrovic G
1991-92,NBA,1st,David Robinson C,Karl Malone F,Chris Mullin F,Clyde Drexler G,Michael Jordan G
1991-92,NBA,2nd,Patrick Ewing C,Charles Barkley F,Scottie Pippen F,Tim Hardaway G,John Stockton G
1991-92,NBA,3rd,Brad Daugherty C,Dennis Rodman F,Kevin Willis F,Kevin Johnson G,Mark Price G
1990-91,NBA,1st,David Robinson C,Charles Barkley F,Karl Malone F,Magic Johnson G,Michael Jordan G
1990-91,NBA,2nd,Patrick Ewing C,Chris Mullin F,Dominique Wilkins F,Clyde Drexler G,Kevin Johnson G
1990-91,NBA,3rd,Hakeem Olajuwon C,Bernard King F,James Worthy F,Joe Dumars G,John Stockton G
1989-90,NBA,1st,Patrick Ewing C,Charles Barkley F,Karl Malone F,Magic Johnson G,Michael Jordan G
1989-90,NBA,2nd,Hakeem Olajuwon C,Larry Bird F,Tom Chambers F,Kevin Johnson G,John Stockton G
1989-90,NBA,3rd,David Robinson C,Chris Mullin F,James Worthy F,Clyde Drexler G,Joe Dumars G
1988-89,NBA,1st,Hakeem Olajuwon C,Charles Barkley F,Karl Malone F,Magic Johnson G,Michael Jordan G
1988-89,NBA,2nd,Patrick Ewing C,Tom Chambers F,Chris Mullin F,Kevin Johnson G,John Stockton G
1988-89,NBA,3rd,Robert Parish C,Terry Cummings F,Dominique Wilkins F,Dale Ellis G,Mark Price G
1987-88,NBA,1st,Hakeem Olajuwon C,Charles Barkley F,Larry Bird F,Magic Johnson G,Michael Jordan G
1987-88,NBA,2nd,Patrick Ewing C,Karl Malone F,Dominique Wilkins F,Clyde Drexler G,John Stockton G
1986-87,NBA,1st,Hakeem Olajuwon C,Larry Bird F,Kevin McHale F,Magic Johnson G,Michael Jordan G
1986-87,NBA,2nd,Moses Malone C,Charles Barkley F,Dominique Wilkins F,Fat Lever G,Isiah Thomas G
1985-86,NBA,1st,Kareem Abdul-Jabbar C,Larry Bird F,Dominique Wilkins F,Magic Johnson G,Isiah Thomas G
1985-86,NBA,2nd,Hakeem Olajuwon C,Charles Barkley F,Alex English F,Sidney Moncrief G,Alvin Robertson G
1984-85,NBA,1st,Moses Malone C,Larry Bird F,Bernard King F,Magic Johnson G,Isiah Thomas G
1984-85,NBA,2nd,Kareem Abdul-Jabbar C,Terry Cummings F,Ralph Sampson F,Michael Jordan G,Sidney Moncrief G
1983-84,NBA,1st,Kareem Abdul-Jabbar C,Larry Bird F,Bernard King F,Magic Johnson G,Isiah Thomas G
1983-84,NBA,2nd,Moses Malone C,Adrian Dantley F,Julius Erving F,Sidney Moncrief G,Jim Paxson G
1982-83,NBA,1st,Moses Malone C,Larry Bird F,Julius Erving F,Magic Johnson G,Sidney Moncrief G
1982-83,NBA,2nd,Kareem Abdul-Jabbar C,Alex English F,Buck Williams F,George Gervin G,Isiah Thomas G
1981-82,NBA,1st,Moses Malone C,Larry Bird F,Julius Erving F,George Gervin G,Gus Williams G
1981-82,NBA,2nd,Robert Parish C,Alex English F,Bernard King F,Magic Johnson G,Sidney Moncrief G
1980-81,NBA,1st,Kareem Abdul-Jabbar C,Larry Bird F,Julius Erving F,George Gervin G,Dennis Johnson G
1980-81,NBA,2nd,Moses Malone C,Adrian Dantley F,Marques Johnson F,Tiny Archibald G,Otis Birdsong G
1979-80,NBA,1st,Kareem Abdul-Jabbar C,Larry Bird F,Julius Erving F,George Gervin G,Paul Westphal G
1979-80,NBA,2nd,Moses Malone C,Marques Johnson F,Dan Roundfield F,Dennis Johnson G,Gus Williams G
1978-79,NBA,1st,Moses Malone C,Elvin Hayes F,Marques Johnson F,George Gervin G,Paul Westphal G
1978-79,NBA,2nd,Kareem Abdul-Jabbar C,Bob Dandridge F,Walter Davis F,Phil Ford G,World B. Free G
1977-78,NBA,1st,Bill Walton C,Julius Erving F,Truck Robinson F,George Gervin G,David Thompson G
1977-78,NBA,2nd,Kareem Abdul-Jabbar C,Walter Davis F,Maurice Lucas F,Pete Maravich G,Paul Westphal G
1976-77,NBA,1st,Kareem Abdul-Jabbar C,Elvin Hayes F,David Thompson F,Pete Maravich G,Paul Westphal G
1976-77,NBA,2nd,Bill Walton C,Julius Erving F,George McGinnis F,George Gervin G,Jo Jo White G
1975-76,NBA,1st,Kareem Abdul-Jabbar C,Rick Barry F,George McGinnis F,Tiny Archibald G,Pete Maravich G
1975-76,NBA,2nd,Dave Cowens C,John Havlicek F,Elvin Hayes F,Phil Smith G,Randy Smith G
1975-76,ABA,1st,Artis Gilmore C,Julius Erving F,Billy Knight F,James Silas G,Ralph Simpson G
1975-76,ABA,2nd,Dan Issel C,Bobby Jones F,David Thompson F,Don Buse G,George Gervin G
1974-75,NBA,1st,Bob McAdoo C,Rick Barry F,Elvin Hayes F,Tiny Archibald G,Walt Frazier G
1974-75,NBA,2nd,Dave Cowens C,John Havlicek F,Spencer Haywood F,Phil Chenier G,Jo Jo White G
1974-75,ABA,1st,Artis Gilmore C,Julius Erving F,George McGinnis F,Ron Boone G,Mack Calvin G
1974-75,ABA,2nd,Swen Nater C,Marvin Barnes F,George Gervin F,James Silas G,Brian Taylor G
1973-74,NBA,1st,Kareem Abdul-Jabbar C,Rick Barry F,John Havlicek F,Walt Frazier G,Gail Goodrich G
1973-74,NBA,2nd,Bob McAdoo C,Elvin Hayes F,Spencer Haywood F,Dave Bing G,Norm Van Lier G
1973-74,ABA,1st,Artis Gilmore C,Julius Erving F,George McGinnis F,Mack Calvin G,Jimmy Jones G
1973-74,ABA,2nd,Swen Nater C,Dan Issel F,Willie Wise F,Ron Boone G,Louie Dampier G
1972-73,NBA,1st,Kareem Abdul-Jabbar C,John Havlicek F,Spencer Haywood F,Tiny Archibald G,Jerry West G
1972-73,NBA,2nd,Dave Cowens C,Rick Barry F,Elvin Hayes F,Walt Frazier G,Pete Maravich G
1972-73,ABA,1st,Artis Gilmore C,Billy Cunningham F,Julius Erving F,Warren Jabali G,Jimmy Jones G
1972-73,ABA,2nd,Mel Daniels C,Dan Issel F,George McGinnis F,Mack Calvin G,Ralph Simpson G
1971-72,NBA,1st,Kareem Abdul-Jabbar C,John Havlicek F,Spencer Haywood F,Walt Frazier G,Jerry West G
1971-72,NBA,2nd,Wilt Chamberlain C,Billy Cunningham F,Bob Love F,Tiny Archibald G,Archie Clark G
1971-72,ABA,1st,Artis Gilmore C,Rick Barry F,Dan Issel F,Donnie Freeman G,Bill Melchionni G
1971-72,ABA,2nd,Zelmo Beaty C,Julius Erving F,Willie Wise F,Charlie Scott G,Ralph Simpson G
1970-71,NBA,1st,Kareem Abdul-Jabbar C,Billy Cunningham F,John Havlicek F,Dave Bing G,Jerry West G
1970-71,NBA,2nd,Willis Reed C,Gus Johnson F,Bob Love F,Walt Frazier G,Oscar Robertson G
1970-71,ABA,1st,Mel Daniels C,Rick Barry F,Roger Brown F,Mack Calvin G,Charlie Scott G
1970-71,ABA,2nd,John Brisker F,Joe Caldwell F,Larry Cannon G,Donnie Freeman G,Zelmo Beaty C Dan Issel C (T)
1969-70,NBA,1st,Willis Reed C,Billy Cunningham F,Connie Hawkins F,Walt Frazier G,Jerry West G
1969-70,NBA,2nd,Kareem Abdul-Jabbar C,John Havlicek F,Gus Johnson F,Lou Hudson G,Oscar Robertson G
1969-70,ABA,1st,Mel Daniels C,Rick Barry F,Spencer Haywood F,Larry Jones G,Bob Verga G
1969-70,ABA,2nd,Red Robbins C,Roger Brown F,Bob Netolicky F,Louie Dampier G,Donnie Freeman G
1968-69,NBA,1st,Wes Unseld C,Elgin Baylor F,Billy Cunningham F,Earl Monroe G,Oscar Robertson G
1968-69,NBA,2nd,Willis Reed C,Dave DeBusschere F,John Havlicek F,Hal Greer G,Jerry West G
1968-69,ABA,1st,Mel Daniels C,Rick Barry F,Connie Hawkins F,Jimmy Jones G,Larry Jones G
1968-69,ABA,2nd,Red Robbins C,John Beasley F,Doug Moe F,Louie Dampier G,Donnie Freeman G
1967-68,NBA,1st,Wilt Chamberlain C,Elgin Baylor F,Jerry Lucas F,Dave Bing G,Oscar Robertson G
1967-68,NBA,2nd,Bill Russell C,John Havlicek F,Willis Reed F,Hal Greer G,Jerry West G
1967-68,ABA,1st,Mel Daniels C,Connie Hawkins F,Doug Moe F,Larry Jones G,Charles Williams G
1967-68,ABA,2nd,John Beasley C,Roger Brown F,Cincinnatus Powell F,Larry Brown G,Louie Dampier G
1966-67,NBA,1st,Wilt Chamberlain C,Rick Barry F,Elgin Baylor F,Oscar Robertson G,Jerry West G
1966-67,NBA,2nd,Bill Russell C,Jerry Lucas F,Willis Reed F,Hal Greer G,Sam Jones G
1965-66,NBA,1st,Wilt Chamberlain C,Rick Barry F,Jerry Lucas F,Oscar Robertson G,Jerry West G
1965-66,NBA,2nd,Bill Russell C,John Havlicek F,Gus Johnson F,Hal Greer G,Sam Jones G
1964-65,NBA,1st,Bill Russell C,Elgin Baylor F,Jerry Lucas F,Oscar Robertson G,Jerry West G
1964-65,NBA,2nd,Wilt Chamberlain C,Gus Johnson F,Bob Pettit F,Hal Greer G,Sam Jones G
1963-64,NBA,1st,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Oscar Robertson G,Jerry West G
1963-64,NBA,2nd,Bill Russell C,Tom Heinsohn F,Jerry Lucas F,Hal Greer G,John Havlicek G
1962-63,NBA,1st,Bill Russell C,Elgin Baylor F,Bob Pettit F,Oscar Robertson G,Jerry West G
1962-63,NBA,2nd,Wilt Chamberlain C,Tom Heinsohn F,Bailey Howell F,Bob Cousy G,Hal Greer G
1961-62,NBA,1st,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Oscar Robertson G,Jerry West G
1961-62,NBA,2nd,Bill Russell C,Tom Heinsohn F,Jack Twyman F,Bob Cousy G,Richie Guerin G
1960-61,NBA,1st,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Bob Cousy G,Oscar Robertson G
1960-61,NBA,2nd,Bill Russell C,Tom Heinsohn F,Dolph Schayes F,Larry Costello G,Gene Shue G
1959-60,NBA,1st,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Bob Cousy G,Gene Shue G
1959-60,NBA,2nd,Bill Russell C,Dolph Schayes F,Jack Twyman F,Richie Guerin G,Bill Sharman G
1958-59,NBA,1st,Bill Russell C,Elgin Baylor F,Bob Pettit F,Bob Cousy G,Bill Sharman G
1958-59,NBA,2nd,Dolph Schayes C,Paul Arizin F,Cliff Hagan F,Richie Guerin G,Slater Martin G
1957-58,NBA,1st,Bob Pettit C,Dolph Schayes F,George Yardley F,Bob Cousy G,Bill Sharman G
1957-58,NBA,2nd,Bill Russell C,Cliff Hagan F,Maurice Stokes F,Tom Gola G,Slater Martin G
1956-57,NBA,1st,Bob Pettit C,Paul Arizin F,Dolph Schayes F,Bob Cousy G,Bill Sharman G
1956-57,NBA,2nd,Neil Johnston C,Maurice Stokes F,George Yardley F,Dick Garmaker G,Slater Martin G
1955-56,NBA,1st,Neil Johnston C,Paul Arizin F,Bob Pettit F,Bob Cousy G,Bill Sharman G
1955-56,NBA,2nd,Clyde Lovellette C,Dolph Schayes F,Maurice Stokes F,Jack George G,Slater Martin G
1954-55,NBA,1st,Bob Cousy,Larry Foust,Neil Johnston,Bob Pettit,Dolph Schayes
1954-55,NBA,2nd,Harry Gallatin,Slater Martin,Vern Mikkelsen,Paul Seymour,Bill Sharman
1953-54,NBA,1st,Bob Cousy,Harry Gallatin,Neil Johnston,George Mikan,Dolph Schayes
1953-54,NBA,2nd,Carl Braun,Ed Macauley,Jim Pollard,Paul Seymour,Bobby Wanzer
1952-53,NBA,1st,Bob Cousy,Neil Johnston,Ed Macauley,George Mikan,Dolph Schayes
1952-53,NBA,2nd,Bob Davies,Vern Mikkelsen,Andy Phillip,Bill Sharman,Bobby Wanzer
1951-52,NBA,1st,Paul Arizin,Bob Cousy,Ed Macauley,George Mikan,Bob Davies  Dolph Schayes (T)
1951-52,NBA,2nd,Larry Foust,Vern Mikkelsen,Andy Phillip,Jim Pollard,Bobby Wanzer
1950-51,NBA,1st,Ralph Beard,Bob Davies,Alex Groza,Ed Macauley,George Mikan
1950-51,NBA,2nd,Frankie Brian,Joe Fulks,Dick McGuire,Vern Mikkelsen,Dolph Schayes
1949-50,NBA,1st,Bob Davies,Alex Groza,George Mikan,Jim Pollard,Max Zaslofsky
1949-50,NBA,2nd,Ralph Beard,Frankie Brian,Al Cervi,Fred Schaus,Dolph Schayes
1948-49,BAA,1st,Bob Davies,Joe Fulks,George Mikan,Jim Pollard,Max Zaslofsky
1948-49,BAA,2nd,Bob Feerick,John Logan,Bones McKinney,Arnie Risen,Kenny Sailors
1947-48,BAA,1st,Howie Dallmar,Bob Feerick,Joe Fulks,Ed Sadowski,Max Zaslofsky
1947-48,BAA,2nd,Carl Braun,Buddy Jeannette,John Logan,Stan Miasek,Fred Scolari
1946-47,BAA,1st,Bob Feerick,Joe Fulks,Bones McKinney,Stan Miasek,Max Zaslofsky
1946-47,BAA,2nd,Frankie Baumholtz,Ernie Calverley,Chick Halbert,John Logan,Fred Scolari
